work,author,year,language,tradition,topic,access_level,analysis_level,importance_at_the_time,later_significance,relation_to_canonical_debates,recommended_action,chief_editor_priority,notes
"The Concept of Law","H. L. A. Hart",1961,en,"legal positivism","rule of recognition; internal point of view","library_access_required","retrospective_contextual_note","canonical","canonical","Hartian foundations","top ten candidate","high","Canonical background."
"The Authority of Law","Joseph Raz",1979,en,"legal positivism; practical reason","authority; exclusionary reasons","library_access_required","retrospective_contextual_note","canonical","canonical","Razian authority","top ten candidate","high","Canonical background."
"Law's Empire","Ronald Dworkin",1986,en,"interpretivism","fit; justification; integrity","library_access_required","retrospective_contextual_note","canonical","canonical","Hart-Dworkin debate","top ten candidate","high","Canonical background."
"The Morality of Law","Lon L. Fuller",1964,en,"rule of law; natural law","legality; fidelity","library_access_required","retrospective_contextual_note","canonical","canonical","Fuller-Hart; rule of law","top ten candidate","medium","Canonical background."
"Natural Law and Natural Rights","John Finnis",1980,en,"natural law theory","practical reason; common good","library_access_required","retrospective_contextual_note","canonical","canonical","natural law after Hart","top ten candidate","medium","Canonical background."
"Legal Philosophy in the Twentieth Century: The Common Law World","Gerald J. Postema",2011,en,"jurisprudential historiography","twentieth-century common-law legal philosophy","table_of_contents_only","retrospective_contextual_note","high","high","Holmes-Hart arc; field history","top ten candidate","high","Use cautiously until full text supplied."
"Law's Rule","Gerald J. Postema",2022,en,"rule of law theory","rule of law; accountability","abstract_or_review_only","retrospective_contextual_note","high","high","Fuller; Raz; rule of law","top ten candidate","high","Use abstract/review level until full text supplied."
"A Theory of Constitutional Rights","Robert Alexy",2002,en,"German legal theory; constitutional theory","rights; proportionality","library_access_required","retrospective_contextual_note","canonical","canonical","principles; balancing; rights","top ten candidate","medium","Canonical background."
"Between Facts and Norms","Jurgen Habermas",1996,en,"discourse theory","law; democracy; legitimacy","library_access_required","retrospective_contextual_note","canonical","canonical","discourse theory; legitimacy","top ten candidate","medium","Canonical background."
"Law as a Social System","Niklas Luhmann",2004,en,"systems theory","legal system; communication","library_access_required","retrospective_contextual_note","canonical","canonical","systems theory; legal autonomy","top ten candidate","medium","Canonical background."
"The Sources of Authoritative Exclusion","Steve Coyne",2025,en,"Razian authority theory","authority; reasons","abstract_or_review_only","abstract_or_review_based_note","high","unknown","Raz; exclusionary reasons","article note","high","Springer official page."
"Legal Perspectivalism and Hartian Orthodoxy","Angelo Ryu and Trenton Sewell",2025,en,"Hartian positivism","legal content","table_of_contents_only","bibliographic_notice","high","unknown","Hart; positivism","article note","high","Cambridge Core TOC."
"Can We Legally Revise the Highest Legal Rule?","Manish Oza",2025,en,"legal positivism","highest legal rule","table_of_contents_only","bibliographic_notice","high","unknown","Hart; Ross","article note","high","Cambridge Core TOC."
"Deadlock in Rule of Law Theory and the Potential of Internal Critique","Tom Hannant",2025,en,"rule of law theory","rule of law method","table_of_contents_only","bibliographic_notice","high","unknown","Fuller; Raz; Postema","article note","high","Cambridge Core TOC."
"Normative Positions: Against the Dual View","Luis Duarte d'Almeida",2025,en,"Hohfeldian analysis","normative positions","abstract_or_review_only","abstract_or_review_based_note","high","unknown","Hohfeld; rights theory","article note","medium","Springer official page."
"Challenging the State's Claim to Authority","Tomer Kenneth and Meir H. Yarom",2025,en,"authority theory","state authority","abstract_or_review_only","abstract_or_review_based_note","high","unknown","Raz; political obligation","article note","medium","Springer official page."
"The Death of the Legal Author","Julieta A. Rabanos and Bojan Spaic",2025,en,"legal interpretation; authority theory","GenAI; authorship; intention","open_access_full_text","full_text_article_note","medium","unknown","Dworkin; legal authority; legal content","article note","medium","Included because it is jurisprudential, not because AI is the issue frame."
"The Interpretive Convergence Theory of Law","Jeyoun Son",2025,ko,"legal theory","interpretive convergence; legal content","chief_editor_supplied_full_text","retrospective_contextual_note","regional","watch","Hart; Dworkin; social practice","article note","medium","Use as Korean comparator with visibility caveat."
